gene_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64
ENSG00000259126	-12.255342	2.533343	0.19730763	-0.5110371	0.09946968	-0.037919693	-0.09343625	-0.20295727	0.8774181	-0.3864447	-0.05736265	-0.9773131	-0.30554324	-0.8048836	-0.5789806	0.068438515	-0.42466488	0.79388404	-0.25059667	-0.23541439	0.6563597	0.1751891	-0.09209579	-0.0047315476	0.41350394	0.1740437	0.33901435	0.21191333	0.11000283	-0.05790945	-0.3072743	-0.023536094	0.054049715	0.1962057	-0.17584911	0.0010891798	0.052269444	-0.08778598	0.15281738	-0.07207949	-0.0018257076	0.047754925	-0.15810138	-0.07445448	0.0073833046	0.033862554	-0.12646225	-0.06760744	-0.0055959416	-0.08815911	-0.045932304	-0.055798322	0.1302232	0.07823785	0.13012311	0.038215183	0.117009655	-0.052786488	-0.029556956	-0.052845817	-0.09373257	-0.027654871	0.10095404	0.073909566
ENSG00000220076	-12.656667	2.5333467	0.25762945	-0.7838332	0.116461	-0.019693311	-0.10653015	-0.07408477	0.9978102	-0.28449234	0.049090136	-1.1425263	-0.13863705	-1.0913241	-1.242861	0.4622938	-0.44853747	0.7718249	-0.13637926	-0.6031284	0.53999734	0.051567804	-0.13882142	0.07401837	0.3489216	0.22309966	0.3288619	0.31504765	0.11455118	-0.061442133	-0.29220673	-0.034640085	-0.0029868386	0.217348	-0.19515721	0.0165305	0.03442405	-0.048112746	0.16949286	-0.047318555	0.045720596	0.03594634	-0.13025317	-0.11087512	0.029756878	0.03519817	-0.13492274	-0.050192095	0.027038692	-0.07883149	0.009774566	-0.059989866	0.09856277	0.090684414	0.15453142	0.024098001	0.084860004	-0.06344782	-0.0009857264	-0.020893198	-0.04857738	-0.03372852	0.069160566	0.0042453045
ENSG00000250433	-12.553215	2.5547152	0.25181904	-0.75496465	0.07397453	-0.023437005	-0.10507475	-0.10709015	0.95719266	-0.35581073	-0.010037419	-1.0845585	-0.21885957	-0.9924284	-0.9343524	0.30899826	-0.43104622	0.76275724	-0.15811263	-0.49956152	0.5878049	0.09077577	-0.11666163	0.083416596	0.34669316	0.2483502	0.34119278	0.3112159	0.111192815	-0.057927433	-0.3206751	-0.014205161	-0.03355563	0.19663307	-0.18807636	0.006683958	0.0254	-0.051601402	0.17464681	-0.046761077	0.04720461	0.02902738	-0.14132757	-0.10615843	0.037054084	0.035939466	-0.1257671	-0.068961434	0.026824418	-0.07757859	-0.006815287	-0.058234133	0.1044699	0.097185016	0.150982	0.01716483	0.08688933	-0.051624596	-0.014241314	-0.031205924	-0.06855347	-0.026688343	0.07405883	0.020668369
ENSG00000177485	-3.4413073	0.41978842	1.7606541	-0.032342657	0.44420603	0.2839525	-0.15033461	-1.0946519	-1.0645822	-0.91093683	0.5201771	-0.91256297	0.2708295	-0.36457145	-0.80767137	1.0305604	-0.15439542	-0.72044516	0.16708186	-0.70092916	0.64267206	-0.22951682	0.42383987	-0.058600098	-0.73846185	-0.38516846	-0.72016144	-0.19263919	-0.2503381	-0.022258945	-0.4259402	-0.25356194	-0.70237756	-0.26475585	0.12602928	0.16701354	-0.2550033	0.262262	-0.02042557	-0.03700615	0.43003863	0.07198023	-0.2752373	0.19213258	-0.056852974	-0.30993366	0.26242885	0.19296798	-0.12020805	0.23710118	0.13625416	0.13041581	-0.19768831	-0.13445647	0.044886466	0.11533333	-0.58064014	0.074967496	0.12852961	0.023697035	-0.050698455	-0.5110452	-0.12396689	-0.20454521
ENSG00000172742	-12.65703	2.530885	0.25843483	-0.7846576	0.11707373	-0.019758953	-0.10654065	-0.0726559	0.9998344	-0.28209677	0.051964544	-1.1447539	-0.13524994	-1.0956973	-1.2533599	0.46979374	-0.4496614	0.7715126	-0.1383222	-0.60895425	0.53648317	0.050630957	-0.14006199	0.073269084	0.34979454	0.22260252	0.32822204	0.31515297	0.11426173	-0.061514452	-0.29151866	-0.034926243	-0.0008632184	0.21744159	-0.19577456	0.016578022	0.033842452	-0.04758092	0.16964638	-0.04712731	0.045104638	0.03649376	-0.1303823	-0.11085729	0.029769022	0.034908954	-0.13482201	-0.049265083	0.02697381	-0.07907155	0.01043386	-0.060062483	0.09889488	0.090474814	0.15445915	0.023828484	0.085203715	-0.06392845	-0.0008749389	-0.02137909	-0.0482598	-0.034376144	0.06901869	0.0040884833
ENSG00000219755	-11.028346	2.0924726	0.042730123	-0.52581155	-0.13084061	-0.12737633	-0.042251505	-0.23619042	0.9950992	-0.2926051	0.15471546	-1.1386781	-0.039718423	-1.0909412	-1.2654794	0.4829115	-0.36134994	0.87321234	-0.07295512	-0.5839085	0.31869236	0.023216559	-0.11255531	0.16369134	0.5396112	0.114890285	0.35515994	0.20449646	0.03745247	-0.0541826	-0.26865348	-0.017254075	0.17202279	0.12104599	-0.024617363	0.01112884	-0.053684976	-0.036701158	0.1423526	-0.041691665	-0.007371527	0.027999291	-0.09545536	-0.081559	0.0731024	0.10229852	-0.18817912	-0.11391966	0.0025773875	-0.028603593	-0.054811962	-0.08978362	0.043411028	0.06379176	0.24818175	-0.01468602	0.03710761	-0.03250517	-0.01250261	-0.033581022	-0.0520769	0.038938627	0.059699696	-0.0527938
ENSG00000119707	61.021786	-16.021652	-2.6027238	12.35192	-6.7362013	-2.8436105	1.3790201	-7.868593	-7.049445	2.4298794	2.669377	5.055775	-2.1761856	3.9559877	2.6627336	-0.34796664	1.2026458	-7.0891175	-2.4392338	10.677136	-6.846863	-0.7188365	0.36440602	-2.8852093	-4.752256	-12.862715	-8.250173	-9.398627	-1.4108812	-0.026695618	2.2132177	-3.6701179	1.76129	-2.1385868	1.138747	-0.32917964	-2.3559773	6.285715	-6.9950113	-0.965058	-2.9241679	-4.8509765	1.952054	3.9988117	-1.7584805	-2.0207694	3.7661364	1.0073538	-2.4034715	-0.8523243	-2.701609	-0.15959714	-0.30203456	-0.9269061	-1.7994436	-1.3404832	-1.8967395	-0.8281972	1.8577323	2.8997781	-0.32867518	-2.8767996	-1.368496	3.263488
ENSG00000272256	-12.185782	2.4913688	0.20244762	-0.70686984	0.08141559	-0.025895841	-0.11163023	-0.1326524	0.8332637	-0.34591997	-0.013481184	-0.95346475	-0.39674354	-0.88218516	-0.87420815	0.31791455	-0.3972981	0.6318067	-0.18632053	-0.4739142	0.6988712	0.070262656	-0.041199155	0.20356551	0.392953	0.22076207	0.35726285	0.26328313	0.19545135	-0.06651916	-0.30264264	-0.033602253	-0.05408291	0.15343328	-0.15277188	0.069114536	0.017048055	-0.017008245	0.12048343	-0.05951057	0.043791678	-0.024723705	-0.12346133	-0.13816945	-0.005013546	0.052238297	-0.110883094	-0.039070167	0.031889252	-0.10194398	-0.02518809	-0.062018562	0.0518441	0.025780188	0.12587875	0.033618707	0.10978558	-0.10572285	-0.016135909	-0.011435358	-0.04045458	0.012680363	0.050032992	0.02993815
ENSG00000270375	-12.660728	2.5319202	0.25799477	-0.7850369	0.11775687	-0.019802587	-0.10663397	-0.072610565	1.0002416	-0.28157768	0.052263957	-1.144825	-0.13499942	-1.0964127	-1.2543658	0.47070014	-0.44946414	0.77097416	-0.13809676	-0.60891163	0.5366341	0.05035708	-0.13949011	0.07323561	0.35012555	0.22264645	0.32849056	0.3153159	0.114273354	-0.061542533	-0.2919994	-0.03489591	-0.0016990743	0.21736602	-0.1959643	0.016435048	0.03436646	-0.04746	0.16961786	-0.047117725	0.04563033	0.036518637	-0.13059112	-0.11105987	0.02981821	0.035169546	-0.13509601	-0.049928736	0.027226985	-0.079060584	0.010530254	-0.059890237	0.09914422	0.09050387	0.15454265	0.02383145	0.08477067	-0.06339433	-0.0007892447	-0.021471962	-0.048598517	-0.034084525	0.06889416	0.0038342685
ENSG00000250324	-12.646992	2.536908	0.25727177	-0.7823348	0.1137468	-0.020320928	-0.10638925	-0.07752691	0.9930029	-0.28689867	0.04824261	-1.1370625	-0.14092444	-1.084961	-1.23255	0.45626053	-0.44754738	0.7683421	-0.14202705	-0.59968686	0.54065603	0.05025529	-0.13694005	0.07271719	0.34978878	0.2226191	0.32940006	0.3148121	0.114276685	-0.06163474	-0.29333454	-0.034941953	-0.0033722175	0.21700367	-0.1968047	0.018797051	0.033870474	-0.0482542	0.16892399	-0.04633773	0.043671016	0.034597334	-0.1267623	-0.110999115	0.029533371	0.033694953	-0.13330711	-0.050437763	0.028027715	-0.07871914	0.010299579	-0.060270872	0.09892322	0.09142528	0.15659845	0.02521138	0.084211335	-0.062601976	-0.0012650174	-0.020892765	-0.046147887	-0.03514086	0.0654126	0.001969476
