gene_id,gene_idx
ENSG00000144504,694
ENSG00000106524,695
ENSG00000164331,696
ENSG00000148677,697
ENSG00000165887,698
ENSG00000135299,699
ENSG00000106013,700
ENSG00000156381,701
ENSG00000088448,702
ENSG00000167522,703
ENSG00000101745,704
ENSG00000076513,705
ENSG00000198720,706
ENSG00000118454,707
ENSG00000172932,708
,709
ENSG00000134461,710
ENSG00000132466,711
ENSG00000180071,712
ENSG00000230453,713
ENSG00000260691,714
ENSG00000152766,715
ENSG00000163126,716
ENSG00000089847,717
ENSG00000107890,718
ENSG00000105186,719
ENSG00000206560,720
ENSG00000154065,721
ENSG00000148513,722
ENSG00000180777,723
ENSG00000163046,724
ENSG00000145700,725
ENSG00000167612,726
ENSG00000164236,727
ENSG00000272031,728
ENSG00000189127,729
ENSG00000235711,730
ENSG00000198483,731
ENSG00000135976,732
ENSG00000196912,733
ENSG00000174501,734
ENSG00000186352,735
ENSG00000213337,736
ENSG00000154945,737
ENSG00000167117,738
ENSG00000137494,739
ENSG00000065413,740
ENSG00000183831,741
ENSG00000186106,742
ENSG00000168876,743
ENSG00000151458,744
ENSG00000139645,745
ENSG00000144031,746
ENSG00000100124,747
ENSG00000164512,748
ENSG00000124227,749
ENSG00000157999,750
ENSG00000181626,751
ENSG00000230778,752
ENSG00000235098,753
ENSG00000230062,754
ENSG00000064999,755
ENSG00000185046,756
ENSG00000168096,757
ENSG00000175311,758
ENSG00000165138,759
ENSG00000206199,760
ENSG00000163516,761
ENSG00000011426,762
ENSG00000131620,763
ENSG00000047617,764
ENSG00000134343,765
ENSG00000151572,766
ENSG00000171714,767
ENSG00000177119,768
ENSG00000146205,769
ENSG00000074855,770
ENSG00000185101,771
ENSG00000160746,772
ENSG00000011201,773
ENSG00000140350,774
ENSG00000136938,775
ENSG00000139223,776
ENSG00000143401,777
ENSG00000166825,778
ENSG00000103254,779
ENSG00000169604,780
ENSG00000163297,781
ENSG00000274209,782
ENSG00000135046,783
ENSG00000182718,784
ENSG00000177721,785
ENSG00000138772,786
ENSG00000196975,787
ENSG00000164111,788
ENSG00000197043,789
ENSG00000138279,790
ENSG00000265190,791
ENSG00000264230,792
,793
ENSG00000143412,794
ENSG00000109511,795
ENSG00000122359,796
ENSG00000104537,797
ENSG00000136250,798
ENSG00000002726,799
ENSG00000131480,800
ENSG00000131471,801
ENSG00000148120,802
ENSG00000138356,803
ENSG00000138660,804
ENSG00000100280,805
ENSG00000166747,806
ENSG00000213983,807
ENSG00000072958,808
ENSG00000129354,809
ENSG00000106367,810
ENSG00000182287,811
ENSG00000152056,812
ENSG00000196961,813
ENSG00000183020,814
ENSG00000006125,815
ENSG00000161203,816
ENSG00000042753,817
ENSG00000132842,818
ENSG00000103723,819
ENSG00000065000,820
ENSG00000185009,821
ENSG00000070718,822
ENSG00000177879,823
ENSG00000157823,824
ENSG00000134262,825
ENSG00000081014,826
ENSG00000221838,827
ENSG00000100478,828
ENSG00000254470,829
ENSG00000053770,830
ENSG00000125843,831
ENSG00000242802,832
ENSG00000120868,833
ENSG00000107282,834
ENSG00000034053,835
ENSG00000011132,836
ENSG00000166313,837
ENSG00000077420,838
ENSG00000163697,839
ENSG00000113108,840
ENSG00000134982,841
ENSG00000115266,842
ENSG00000154856,843
ENSG00000198768,844
ENSG00000132703,845
ENSG00000164062,846
ENSG00000248329,847
ENSG00000100823,848
ENSG00000169188,849
ENSG00000117362,850
ENSG00000138613,851
ENSG00000166181,852
ENSG00000149089,853
ENSG00000169621,854
ENSG00000171388,855
ENSG00000134817,856
ENSG00000105290,857
ENSG00000084234,858
ENSG00000101474,859
ENSG00000118137,860
ENSG00000158874,861
ENSG00000110244,862
ENSG00000110243,863
,864
ENSG00000084674,865
ENSG00000111701,866
ENSG00000124701,867
ENSG00000128383,868
,869
ENSG00000179750,870
ENSG00000244509,871
ENSG00000243811,872
ENSG00000128394,873
ENSG00000239713,874
ENSG00000100298,875
ENSG00000173627,876
ENSG00000184730,877
ENSG00000130208,878
ENSG00000234906,879
